Chester FC Men's Team,,,,,,CURRENT DATE,2027-04-10,,,,,Ch 13.16,START,Ch 14.2,Ch 14.3,Ch 14.4,Ch 14.5,Ch 14.5,Ch 14.6,Ch 14.7,Ch 14.7,Ch 14.8,Ch 14.10,Ch 14.10,Ch 14.12,Ch 14.12,Ch 14.12,Ch 14.13,Ch 14.13,Ch 14.14,Ch 14.14,Ch 14.15,Ch 14.15,Ch 14.15,Ch 14.16,Ch 14.16,End Bk 14,Ch SS1.2,Ch SS1.3,Ch SS1.3,Ch SS1.5,Ch SS1.5,End Bk 1,Ch SS2.1,Ch SS2.2,,Ch SS2.8,Ch SS2.9,Ch SS2.10,Ch SS2.10,Ch SS2.12,Ch SS2.13,Ch SS2.13,Ch SS2.17,,
Name,Pos,Age,Current,Weeks Since,PA,Extra Info,,Name,G/W since Pre-Sea,Weeks,During L2,END L2 SEASON,PRE,July 4,July 9,July 17,July 31,Aug 6,Aug 8-13,Aug 22,Aug 22,Aug 31,Sept 1-2,Sept 5,Sept 18-20,Sept 19,Sept 22,Sept 26,Sept 26,Sept 29,Sept 29,Oct 3,Oct 3,Oct 3,Oct 10,Oct 10,Oct 10,Oct 24,Oct 26,Oct 31,Nov 14,Nov 14,Dec 19,Jan 6,Jan 9,Feb 9,Feb 20,Feb 23,Feb 27,Mar 6,Apr 3,Apr 6,Apr 6,May 3,Last Measured,Maximum
,,,,,,,,,,,2026-01-05,2026-04-15,2026-07-01,2026-07-04,2026-07-09,2026-07-17,2026-07-31,2026-08-06,2026-08-13,2026-08-22,2026-08-22,2026-08-31,2026-09-01,2026-09-05,2026-09-19,2026-09-19,2026-09-22,2026-09-26,2026-09-26,2026-09-29,2026-09-29,2026-10-03,2026-10-03,2026-10-03,2026-10-10,2026-10-10,2026-10-10,2026-10-24,2026-10-26,2026-10-31,2026-11-14,2026-11-14,2026-12-19,2027-01-06,2027-01-09,2027-02-09,2027-02-20,2027-02-23,2027-02-27,2027-03-06,2027-04-03,2027-04-06,2027-04-10,2027-05-03,,
"Steve ""Sticky"" Icke",GK,32,108,0.6,122,,,"Steve ""Sticky"" Icke",0.70,40.4,,82,81,,,,,,85,,,,,87,,,,,,,89,,,,,,91,,,93,,,98,,99,101,102,,103,,106,106,,108,2027-04-06,108
"Ian ""Swanny"" Swan",GK,25,113,0.6,127,,,"Ian ""Swanny"" Swan",0.60,40.4,,89,90,,,,,,93,94,,94,,94,,96,,,96,,,98,98,98,99,99,99,100,,,102,,105,,106,108,,108,,109,111,,111,113,2027-04-06,113
"Wilfred ""Banksy"" Banks",GK,18,69,0.6,155,,,"Wilfred ""Banksy"" Banks",0.70,40.4,,41,41,,,,,,46,,,,,,,,,,,,,,,,,,52,,,,,,59,,,64,,,,,,,,69,2027-04-06,69
Cole Adams,DL,20,111,0.6,147,,,Cole Adams,0.67,40.4,,84,84,,,84,,,88,90,,91,,91,,,,,,,,,,,,95,95,96,96,96,98,,102,,103,,106,,106,107,108,,108,111,2027-04-06,111
Adam Summerhays,LB,18,79,0.6,137,,,Adam Summerhays,1.00,40.4,32,40,40,,,,,,45,,,,48,,,,,,,,,53,53,,,,54,,,,,,60,,61,66,68,,71,72,,75,,79,2027-04-06,79
Magnus Evergreen,"DC, DM, M",29,108,0.6,-2,,,Magnus Evergreen,0.70,40.4,,81,81,81,,82,86,87,89,,,,,,,,,,,,,,,,,,89,,,,,,91,,,97,,98,,100,104,,104,108,2027-04-06,108
Thomazella / Tomzilla,DC,19,77,0.6,178,,,Thomazella,0.80,40.4,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,61,,65,67,,70,,,73,,77,2027-04-06,77
Peter Bauer,DC,26,101,0.6,166,,,Peter Bauer,1.10,40.4,,55,55,,,,,,64,,,,,67,69,,,70,70,,,,,,,,74,,,78,,,84,86,,90,93,,94,,97,97,,101,2027-04-06,101
Fitzroy Hall,DC,25,112,0.6,118,,,Fitzroy Hall,0.60,40.4,,86,86,,86,,,,91,,,,,93,,,,,,,95,,,,97,,97,,98,98,,100,103,,,,,106,,107,108,108,108,112,2027-04-06,112
Zach Green,DC,27,113,0.6,139,,,Zach Green,0.60,40.4,,90,90,,,,,,94,95,,96,,96,,97,,,98,98,98,99,99,99,,100,100,101,,,103,,105,,106,,,108,,,111,,111,113,2027-04-06,113
Christian Fierce,DC,30,114,0.6,120,,,Christian Fierce,0.50,40.4,,95,95,,,,,,98,99,,100,,100,101,101,,,102,,,103,103,103,104,104,104,105,,,106,,108,,108,,,109,,111,112,,,114,2027-04-06,114
Nasa,RB,19,83,0.6,150,,,Nasa,1.10,40.4,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,59,,63,66,,69,,,76,,83,2027-04-06,83
Roddy Jones,RB,16,68,0.6,184,,,Roddy Jones,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,68,2027-04-06,68
Helge Hagen,D LR,18,86,,184,,,Helge Hagen,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,2027-04-06,86
Andrew Harrison,MCR,25,102,0.6,121,,,Andrew Harrison,0.70,40.4,,75,75,,,,,,79,81,,,,81,82,,,,,,84,84,84,,,,85,,87,87,89,,91,,92,,94,,95,,100,100,,102,2027-04-06,102
Ryan Jack,MC,38,78,0.6,151,,,Ryan Jack,0.10,40.4,,75,75,,,,,,78,,,,,77,77,,,,,,,76,76,,,,77,,78,78,,,77,,76,77,,,,,,,,50,2027-04-06,78
Omari Naysmith,MC,20,84,0.6,103,,,Omari Naysmith,0.6,40.4,,60,60,,,60,,,65,,67,,,,,,,,,,,,,,,,71,,,,,,75,,75,78,79,,80,,,82,,84,2027-04-06,84
"James ""Youngster"" Yalley","DM, MC",21,118,0.6,181,,,"James ""Youngster"" Yalley",0.30,40.4,,104,104,,,,,,105,106,106,106,,106,106,106,,,,,,107,,,107,107,107,107,,,107,,109,,109,115,,115,,116,116,,116,118,2027-04-06,118
MAX BEST,OMNI,26,,0.6,200,,,MAX BEST,0.00,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-04-06,
Joel Reid,M LC,25,119,0.6,138,,,Joel Reid,0.00,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,119,,119,120,,120,122,2027-04-06,
"Calabash ""Bark"" Barkley",FRC,20,102,0.6,130,,,"Calabash ""Bark"" Barkley",0.70,40.4,,75,75,,,,,,79,,,,,,83,83,,,,,85,84,84,,,,85,,,88,,,91,,91,94,96,,97,98,100,100,,102,2027-04-06,102
"William ""Wibrob"" B. Roberts",FRLC,19,112,0.6,185,,,"William ""Wibrob"" B. Roberts",0.80,40.4,,79,79,79,,80,83,85,87,,89,,,,,,,,93,,,94,,94,,,95,,,,,98,102,,,105,,105,,,109,,109,112,2027-04-06,112
"Gabriel ""Gabbygol""",S,22,113,0.6,161,,,"Gabriel ""Gabbygol""",0.70,40.4,,85,85,,,,,,91,,,93,,,,,,,,,95,96,,96,97,,97,,,99,,101,104,,105,,107,,107,108,110,,110,113,2027-04-06,113
Colin Beckton,S,34,115,0.6,187,,,Colin Beckton,0.40,40.4,,99,99,99,,,,,100,101,,103,103,103,,103,,,,,103,105,,105,106,106,106,107,,107,107,,109,,109,,,110,,,113,,113,115,2027-04-06,115
"Darren ""Dazza"" Smith",S,21,114,0.6,138,,,"Darren ""Dazza"" Smith",0.40,40.4,,97,97,,,,,,101,102,,102,,102,,103,,,103,,,,,,,106,106,107,,107,107,,109,,109,110,,110,,,111,111,,114,2027-04-06,114
,,,,,,,,"""Team Average"" references from chapters:",,,,,,,,,,,95.2,96.0,,98.3,,97.5,,98.4,,,93.66666667,,92.71428571,,85.28571429,99.16666667,101.7,102.4,,103.3,,93.1,102.4,,,,,,"Mansfield, 85.4",,"Wycombe, 86.7","Barnsley, 104.7",,,,,,
Chester FC Men's Team Loans 2026-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,98.5,100.6,102.5,,,,,,,,,,,(w. Chas),,(w. Chas),,,,,113.9,,
"Owen ""Rainman"" Travis",GK,20,74,0.6,99,Saltney Town,,"Owen ""Rainman"" Travis",0.6,40.4,,49,49,,,,,,55,,,,,,,,,,,,,,,,,,62,,,,,,68,,,,,,,,,,,74,2027-04-06,74
Sunday Sowunmi,DC,19,71,0.6,111,Morecambe,,Sunday Sowunmi,0.6,40.4,,48,48,,,,,,54,,56,,,,,,,,,,,,,,,,61,,,,,,68,,,,,,,,,,,71,2027-04-06,71
Dan Badford,MC,18,92,0.57,-1,Tranmere,,Dan Badford,0.6,40.4,,68,68,,,,,,,,,,,,,,,77,,,,,,,,,79,,,,,,83,,,,88,,,,,,,92,2027-04-06,92
Alfie Clitheroe,MC,18,75,0.6,133,Saltney Town,,Alfie Clitheroe,0.60,40.4,31,49,49,,,49,,,56,,,,58,,,,,,,,,63,63,,,,64,,,,,,70,,,,,,,,,,,75,2027-04-06,75
Tom Westwood,S,20,84,0.6,92,Saltney Town,,Tom Westwood,0.5,40.4,,65,65,,,,,,71,,,,,,76,,,,,,,,,,,,79,,,,,,83,,,,,,,,,,,84,2027-04-06,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chester FC U18 ""Youth Cup"" Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Davidson,GK,17,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sam,GK,15,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Murray,LB,15,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Burton,CB,16,,1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
