Owe8,,,,,,,2028-12-05,,,,,SS 6.3,SS 6.4,PRE,SS 6.6,SS 6.6,SS 6.6,SS 6.10,SS 6.12,SS 6.12,SS 6.13,SS 6.15,SS 6.15,6.16,,6.18,,7.4,7.5,7.6,7.7,7.8,7.8,7.9,7.10,7.10,7.10,7.10,7.11,,,
Name,Pos,Age,Current,Weeks Since,PA,Extra Info,,Name,G/W,Weeks,May 15,June 13,June 18,SEASON,July 15,July 22,July 26,August 14,August 22,August 23,August 24,August 28,September 2,September 10,,September 10,,October 5,October 14,October 20,October 28,November 4,November 11,November 12,November 20,November 25,November 28,December 2,December 5,Last Measured,Maximum,BEST
,,,,,,,,,,,2028-05-15,2028-06-13,2028-06-18,2028-07-01,2028-07-15,2028-07-22,2028-07-26,2028-08-14,2028-08-22,2028-08-23,2028-08-24,2028-08-28,2028-09-02,2028-09-10,,2028-09-10,2028-09-28,2028-10-05,2028-10-14,2028-10-20,2028-10-28,2028-11-04,2028-11-11,2028-11-12,2028-11-20,2028-11-25,2028-11-28,2028-12-02,2028-12-05,,,XI
Marek Marasik,GK,37,154,1.0,165,,,Marek Marasik,0.60,21.4,141,,,141,,142,,,,,,,146,147,,147,,149,149,150,,,151,,,,154,,,2028-11-28,154,
Owen Elmham,GK,36,156,0.4,164,,,Owen Elmham,0.50,22,146,,,146,147,,,,150,,,,151,,,152,,154,,,155,155,,,,156,,156,,2028-12-02,156,156
"Steve ""Sticky"" Icke",GK,33,122,22.4,122,,,"Steve ""Sticky"" Icke",0.00,0,122,,,122,,,,,,,,,,,,122,,,,,,,,,,,,,,2028-07-01,122,
Lewis Lamarre,D/M/AM L,27,153,0.4,156,,,Lewis Lamarre,0.50,22,141,,,141,142,142,,,145,,,,146,,,148,,150,150,151,152,152,152,,,153,,153,,2028-12-02,153,153
Cole Adams,DL,21,140,1.4,147,,,Cole Adams,0.20,21,136,136,,136,137,137,,,,,,,,,,140,,,,,,,,,,135,,,,2028-11-25,140,
Peter Bauer,SW DC,27,146,1.4,166,,,Peter Bauer,0.70,21,131,,,131,,,,,,,,,140,141,,141,,,143,144,145,,146,,,146,,,,2028-11-25,146,
Edgar Wilde,DC/DM,34,156,0.4,177,,,Edgar Wilde,0.40,22,,148,,148,,,,151,,,,,,153,,153,,154,154,154,,154,155,,,155,156,156,,2028-12-02,156,156
Murray Burnett,DC,22,156,3.3,164,,,Murray Burnett,0.30,19.1,,150,,150,150,150,,,152,,,,153,154,,154,,155,155,155,,,,156,,,,,,2028-11-12,156,154
Magnus Evergreen,D/DM/M LRC,30,149,0.4,-2,,,Magnus Evergreen,0.70,22,134,,,134,,,,139,,140,,,,142,,142,,145,,,,148,149,,,149,149,149,,2028-12-02,149,
"Dumitru ""Dumi"" Demetrescu",DCR,36,154,0.4,159,,,Dumi,0.30,22,,147,,147,,,,150,,,,,152,153,,153,,153,,,154,154,,,,154,154,154,,2028-12-02,154,154
Roddy Jones,DR,17,112,8.7,184,,,Roddy Jones,0.90,13.7,100,,,100,100,,,,103,,,,,,,108,,112,,,,,,,,,,,,2028-10-05,112,
Helge Hagen,D LR,19,138,1.4,184,,,Helge Hagen,0.70,21,124,,,124,,,,,129,,,130,,131,,131,,133,,,136,,137,,,138,,,,2028-11-25,138,
