Fe,,,,,,CURRENT DATE,2028-10-01,,,,SS 1.16,SS 2.17,SS 3.15,SS 4.11,SS 4.13,SS 4.16,SS 5.7,SS 5.11,SS 5.19,SS 6.4,SS 6.7,SS 6.18,SS 7.3,SS 7.9,SS 7.11,,
Name,Pos,Age,Current,Weeks Since,PA,Extra Info,,Name,G/W since Pre-Sea,Weeks,Halfway L1,EndL1/StartC,Oct 2,Jan 9,Jan 28,Feb 12,Mar 20,Apr 16,May 14,Jun 18,Jul 29,Sep 10,Sep 28,Nov 12,Dec 5,Last Measured,Maximum
,,,,,,,,,,,2026-12-15,2027-07-15,2027-10-02,2028-01-09,2028-01-28,2028-02-12,2028-03-20,2028-04-16,2028-05-14,2028-06-18,2028-07-29,2028-09-10,2028-09-28,2028-11-12,2028-12-05,,
Haley Goodhew,GK,31,139,20.0,160,,,Haley Goodhew,1.30,20.00,,113,118,126,,129,,136,137,,,139,,,,2028-05-14,139
Miini Timonen,GK,18,33,0.4,184,,,Miini Timonen,,0.40,,,,,,,,,,,,,33,,,2028-09-28,33
Queenie,GK,20,87,20.0,94,,,Queenie,1.20,20.00,53,64,67,,,80,,84,85,,,87,,,,2028-05-14,87
Babs,GK,16,43,20.0,72,,,Babs,2.20,20.00,,,28,,,38,,,43,,,,,,,2028-05-14,43
Dafina,DLC,18,91,20.0,118,,,Dafina,1.30,20.00,55,65,68,77,,80,,,87,,,89,,91,,2028-05-14,91
Tanwen,DC,18,84,20.0,106,,,Tanwen,1.00,20.00,54,64,68,71,,74,,,82,,,84,,,,2028-05-14,84
Femi,DC,29,106,20.0,121,,,Femi,1.00,20.00,77,87,90,96,,97,100,103,105,,,106,,,,2028-05-14,106
Meghan,DC,20,109,20.0,169,,,Meghan,1.00,20.00,80,89,91,97,,100,,106,107,,,109,,,,2028-05-14,109
Poppy Lampard,DCL,23,116,9.1,-2,,,Poppy Lampard,12.70,9.10,,,,,,,,,,,114,116,,,,2028-07-29,116
Victoria Rose,DC DM,23,107,20.0,174,,,Victoria Rose,1.50,20.00,,78,82,92,,95,100,103,105,,,107,,,,2028-05-14,107
Amy Shone,D RC,17,72,20.0,105,,,Amy Shone,1.40,20.00,28,44,47,57,,61,66,,70,,,72,,,,2028-05-14,72
Fioled,M LC,18,86,20.0,122,,,Fioled,1.30,20.00,52,61,64,73,,76,,,84,,,86,,,,2028-05-14,86
Dani Smith-Smithe,M/AM RLC,20,112,20.0,177,,,Dani Smith-Smithe,1.30,20.00,76,87,90,98,,101,,109,110,,,112,,,,2028-05-14,112
Kisi Yalley,AM RLC,19,110,20.0,143,,,Kisi Yalley,1.70,20.00,68,77,80,90,,93,97,100,101,,,103,,,110,2028-05-14,110
Mari Hughes,MC,18,90,20.0,110,,,Mari Hughes,1.30,20.00,56,64,67,76,,80,,,87,,,90,,,,2028-05-14,90
Macarena 'Macca' Serra,MC (BBM),27,162,15.0,178,,,Macarena 'Macca' Serra,10.80,15.00,,,,,,,,,160,161,,162,,,,2028-06-18,162
'Cheeky' Rabanne,DM MC,27,149,,160+,,,'Cheeky' Rabanne,0.00,"6,718.10",,,,,,,,,147,,,149,,,,,149
Charlotte,MC,25,101,20.0,101,,,Charlotte,0.80,20.00,78,86,89,97,,98,100,101,101,,,101,,,,2028-05-14,101
Saffron Walden,MC,17,87,20.0,-2,,,Saffron Walden,4.40,20.00,,,,,65,70,,82,85,,,87,,,,2028-05-14,87
Devi Peyad,MR,16?,51,20.0,149,,,Devi Peyad,2.60,20.00,,,,,,32,,,44,,,47,,51,,2028-05-14,51
Jenni Fairbrother,MC,17,48,20.0,123,,,Jenni Fairbrother,2.40,20.00,,,19,30,,34,,,45,,,48,,,,2028-05-14,48
Sarah Greene,M RC,20,113,20.0,167,,,Sarah Greene,1.10,20.00,84,92,95,101,,104,,110,111,,,113,,,,2028-05-14,113
Taz Murphy,M RC,17,49,20.0,133,,,Taz Murphy,2.50,20.00,,,21,30,,34,,,46,,,49,,,,2028-05-14,49
Alwen,FC,18,91,20.0,101,,,Alwen,1.40,20.00,56,64,67,75,,79,,,89,,,91,,,,2028-05-14,91
Jisook Kim,AM C,21,116,9.1,179,,,Jisook Kim,12.70,9.10,,,,,,,,,,,105,108,,,116,2028-07-29,116
Meredith Ann,F RC,18,111,20.0,200,,,Meredith Ann,2.20,20.00,50,68,73,84,,89,,99,100,,,103,,,111,2028-05-14,111
Elsa Lund,S,26,162,15.0,181,,,Elsa Lund,0.00,15.00,,,,,,,,,,162,,162,,,,2028-06-18,
Kit Hodges,S,24,114,20.0,123,,,Kit Hodges,1.00,20.00,92,95,97,101,,104,,110,112,,,114,,,,2028-05-14,114
,,,,,,,,"""Team Average"" references from chapters:",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester FC Women's Extended Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pos,Age,Last Seen CA,Weeks Since,PA,,,Now at,,,,,,,,,,,,,,,,,,,
Luxury Bell,D RC,26,75,,88,,,Preggers,,,,,,,,,,,,,,,,,,,
,M RC,17,,,133,,,U18s,,,,,,,,,,,,,,,,,,,
,GK,10,,,85,,,U12s,,,,,,,,,,,,,,,,,,,
,M/AM L,10,,,106,,,U12s,,,,,,,,,,,,,,,,,,,
,D L,10,,,127,,,U12s,,,,,,,,,,,,,,,,,,,
